abbreviation,explanation
A,Address Record
AA,Authorative Answer (Flag)
AAA,Triple A
AAAA,Quad-A Record (A Record for IPv6)
ACK,Acknowledge
ACM,Association for Computing Machinery
ADSL2,Asymmetric Digital Subscriber Line 2
AIMD,Additive Increase\, Multiplicative Decrease
AK,Acknowledge
API,Application Programming Interface
ARP,Address Resolution Protocol
ARPANET,Advanced Research Projects Agency Network
ARQ,Automatic Repeat reQuest
AS,Autonomous Systems
ASCII,American Standard Code for Information Interchange
ASN,Abstract Syntax Notation
BER,Basis Encoding Rules
BGP,Border Gateway Protocol
BSD,Berkeley Software Distribution
BTSH,BGP TTL Security Hack
CA,Certificate Authority
CBT,Core Based Tree
CC,Congestion Control
CCID,Congestion Control ID
CCR,Commitment\, Concurrency and Recovery
CD,Collision Detection
CDF,Cumulative distribution function
CDM,Code Division Multiplexing
CIDR,Classless InterDomain Routing
CL,Connectionless
CLNS,Connectionless-mode Network Service
CN,Computer Network
CNuvS,Computer Netzwerke und verteilte Systeme
CO,Connection-oriented
CONS,Connection-oriented Network Service
COTS,Connection-oriented Transport Service
CPU,Central Processing Unit
CR,Connection Request
CSCW,Computer Supported Cooperative Work
CSMA,Carrier Sense Multiple Access
CSRC,Contributing Source
CSS,Communication Subsystem
CW,Cooperative Work
DAD,Duplicate Address Detection
DAT,Data Exchange
DB,Database
DCCP,Datagram Congestion Control Protocol
DF,Don't Fragment (Flag)
DHCP,Dynamic Host Configuration Protocol
DHCPv6, Dynamic Host Configuration Protocol for IPv6
DHT,Distributed Hash Table
DIN,Deutsches Institut für Normung
DIS,Disconnect
DL,Data Link
DNS,Domain Name System
DoD,Department of Defence
DP,Destination Port
DR,Disconnect Request
DS,Distributed System
DSDV,Destination Sequence Distance Vector
DSR,Dynamic Source Routing
DT,Data
DV,Distance Vector Routing
DVMRP,Distance Vector Multicast Routing Protocol
DVR,Distance Vector Routing
EUI-64,64 Bit Extended Unique Identifier
FCFS,First Come\, First Serve
FDD,Frequency Division Duplex
FDDI,Fiber Distributed Data Interface
FDM,Frequency Division Multiplexing
FIFO, First In\, First Out
FTP,File Transfer Protocol
GB,Gigabyte
GBit,Gigabit
GE,General Electric
GMT,Greenwich Mean Time
GT,Graphentheorie
HP,Hewlett Packard
HTML,Hypertext Markup Language
HTTP,Hypertext Transfer Protocol
IANA,Internet Assigned Numbers Authority
IBM,International Business Machines Corporation
ICANN,Internet Corporation for Assigned Names and Numbers
ICMP,Internet Control Message Protocol
ICMPv6,Internet Control Message Protocol for IPv6
ID,Identifier
IDL,Interface Definition Language
IETF,Internet Engineering Task Force
IGMP,Internet Group Management Protocol
IGRP,Interior Gateway Routing Protocol
IHL,IP Header Length
IP,Internet Protocol
IPC,Inter Process Communication
IPSec,IP Security
IPTV,IP Television
IPv4,Internet Protocol Version 4
IPv6,Internet Protocol Version 6
ISO,International Organization for Standardization
ISP,Internet Service Provider
IT,Information technology
ITU-T,ITU Telecommunication Standardization Sector
JPEG,Joint Photographic Experts Group
KaZaA,KaZaA (Eigenname)
KB,Kilobyte
KBit,Kilobit
LAN,Local Area Network
LLC,Logical Link Control
LS,Link State Routing
LSR,Link State Routing
MAC,Medium Access Control
MD5,Message Digest Algorithm 5
MF,More Fragments (Flag)
MOSPF,Multicast Open Shortes Path First
MS,Microsoft
MSB,Most Significant Bit/Byte
MSS,Maximum Segment Size
MST,Minimal Spanning Tree
MTA,Mail Transfer Agent
MUA,Mail User Agent
MX,Mail Exchange Resource Record
NACK,Negative Acknowledgement
NASA,National Aeronautics and Space Administration
NAT,Network Address Translation
NCP,Network Control Program
ND,Neighbour Discovery Protocol
NDP,Neighbour Discovery Protocol
NIC,Network Interface Card
NLA,Next Level Address
NS,Network Layer Services / Nameserver Record
NW,Network
NY,New York
OO,Object Oriented
OPCode,Operation Code
OS,Operating System
OSI,Open Systems Interconnection
OSN,Online Social Network
OSPF,Open Shortes Path First
P2P,Peer-to-Peer
PC,Personal Computer
PCCW,Pacific Century Cyberworks
PCI,Peripheral Component Interconnect
PDF,Portable Document Format
PDU,Protocol Data Unit
PH,Physical Layer
PHY,Physical Layer
PID,Process ID
PIM,Protocol Independent Multicast
PT,Pakistan Telekom
QoS,Quality of Service
QUIC,Quick UDP Internet Connection
RA,Router Advertisement
RARP,Reverse ARP
RD,Recusion Desired (Flag)
RED,Random Early Detection
RFC,Request For Comments
RIP,Routing Information Protocol
RIPE,Reseaux IP Europeens Network Coordination Centre
RIR,Regional Internet Registry
ROSE,Remote Operation Service Element
RPF,Reverse Path Forwarding
RR,Resource Record
RST,Reset (Flag)
RTCP,Real Time Control Protocol
RTP,Real Time Transport Protocol
RTT,Round Trip Time
SAP,Systeme\, Anwendungen und Produkte in der Datenverarbeitung
SCTP,Stream Control Transmission Protocol
SD,Queue Discipline
SDM,Space Division Multiplexing
SDU,Service Data Unit
SE,Service Element
SHA-1,Secure Hashing Algorithm 1
SIGCOMM,Special Interest Group on Data Communications
SLA,Site Level Address
SLAAC,Stateless Address Autoconfiguration
SMTP,Simple Mail Transfer Protocol
SNMP,Simple Network Management Protocol
SP,Source Port
SPT,Shortes Path Trees
SRC,Source
SSN,Social Security Number
SSRC,Synchronization Source
SW,Software
SYN,Synchronize
TC,Truncation (Flag)
TCP,Transmission Connection Protocol
TDD,Time Division Duplex
TDM,Time Division Multiplexing
TL,Transport Layer
TLA,Top Level Aggregation
TLD,Top Level Domain
TLS,Transport Layer Security
ToS,Type of Service
TPDU,Transport Protocol Data Unit
TS,Transport Service
TSDU,Transport Service Data Unit
TTL,Time To Live
TV,Television
UDP,User Datagram Protocol
UI,user Interface
UK,United Kingdom
UMTS,Universal Mobile Telecommunications System
URG,Urgent (Flag)
URL,Unified Resource Locator
US,United States
USA,United States of America
VLSM,Variable Length Subnet Masks
VoIP,Voice over IP
WAN,Wide Area Network
WDM,Wavelength Division Multiplexing
WLAN,Wireless LAN
WSN,Wireless Sensor Network
WWW,World Wide Web
